time,trajectory_mean_N10000,trajectory_variance_ddof1,trajectory_std_ddof1,trajectory_variance_se_plugin,mean_se_N10000,mean_se_extrapolated_N5000000,exact_mean,archive_mean_N5000000,variance_batch_a_N5000,variance_batch_b_N5000
0.72,0.3136245342643458,0.35850075291551403,0.5987493239374171,0.005261762564678006,0.0059874932393741715,0.00026776883796122134,0.3084021261051999,0.3084853396011882,0.3564674274967195,0.3605705387511987
0.74,0.30399340571291567,0.3573168469295085,0.5977598572416087,0.005414377503588154,0.005977598572416087,0.0002673263350025614,0.29777527274358595,0.2978903047731261,0.35858857457251997,0.35609983310279025
0.76,0.2932021857872488,0.35492391635516074,0.5957549129928856,0.005585688474293441,0.005957549129928856,0.000266429696676313,0.28748641125216545,0.28754566262407416,0.35719817266515314,0.3527025612032264
0.78,0.27992843346523016,0.35687501107729186,0.5973901665388307,0.005903252352469808,0.005973901665388306,0.00026716100429414916,0.2775268449540007,0.27743787937883024,0.36125183519318993,0.3525684639471745
0.7999999999999999,0.2707252127685749,0.3574619020154062,0.5978811771710213,0.0061295169225297035,0.005978811771710214,0.0002673805909243998,0.26788801811690965,0.26783450831805544,0.36327861317714355,0.3517099617903283
0.82,0.2628442428851496,0.35832986269957406,0.598606600948882,0.006411852878471049,0.00598606600948882,0.00026770501030035803,0.25856151656167814,0.25855928801058214,0.3621489018643962,0.35456822047855824
0.84,0.25469052121159563,0.36033771410086,0.6002813624466947,0.006768374836468293,0.006002813624466947,0.00026845398641139976,0.2495390681481786,0.2496421904496215,0.3671651657790149,0.3535359729785648
0.86,0.24844313490912845,0.3608065998372395,0.6006717904456972,0.007019594410121204,0.006006717904456971,0.0002686285911206175,0.24081254314258538,0.24088697585881338,0.36488675710967833,0.3567361174813682
0.88,0.23968383113369437,0.3634096759947807,0.6028347003903978,0.007493697419205151,0.006028347003903978,0.0002695958738537297,0.23237395446896847,0.23245848631872776,0.36375253296686866,0.3630994170005035
0.9,0.2295322858061255,0.3681792988800277,0.6067778002531303,0.008009187362170373,0.006067778002531303,0.0002713592817207577,0.22421545784850816,0.2243349452985197,0.3694279686493453,0.36693881981049414
0.92,0.22075960184480758,0.3689559616240952,0.6074174525185255,0.008357010515203392,0.006074174525185255,0.00027164534291023476,0.21632935182962,0.21654750063605127,0.36950349701530655,0.3684240956200992
0.94,0.21068894447766634,0.3735535672488212,0.61119028726643,0.008835497639270858,0.0061119028726643,0.00027333260590307233,0.20870807771228106,0.2089025876096247,0.3768528663565111,0.3702584814128372
0.96,0.2013325082948915,0.3797398433332881,0.6162303492471691,0.009523940052805496,0.006162303492471691,0.00027558659014302134,0.2013442193698496,0.2013738320698346,0.38097588281425365,0.3784567159387563
0.98,0.1912562660119383,0.38420561402480646,0.6198432172935399,0.010076081003097773,0.006198432172935398,0.00027720231385210565,0.19423050297167632,0.1940891782073564,0.3907892038194899,0.37760848006640707
1.0,0.1817515361069816,0.38994856799291516,0.6244586199204196,0.010673746710657595,0.006244586199204196,0.00027926638465555255,0.18735979660980895,0.18725724005189434,0.3988281207486397,0.38103272918118697
1.02,0.1767318933271334,0.38992757050628524,0.6244418071416145,0.010958397900287107,0.0062444180714161445,0.0002792588657522927,0.18072510983307555,0.18065435425014228,0.4023427322511586,0.37753036168089243
1.04,0.17036051053013226,0.39541533604983187,0.6288205913055264,0.011575445150751196,0.006288205913055264,0.0002812171175621541,0.17431959309182954,0.1742375649923864,0.40106043058378205,0.3898414460175347
1.06,0.16352676836483912,0.3966828602534311,0.6298276432909492,0.011995425643625653,0.0062982764329094915,0.00028166748490141035,0.16813653709662968,0.16814194739922117,0.4000709046050672,0.3933572562585698
1.08,0.15662018857204207,0.40078870669628003,0.6330787523652014,0.01256302680637328,0.006330787523652014,0.0002831214250798692,0.16216937209410753,0.16224150961529782,0.407970817760918,0.3936861684711879
1.1,0.15021312904338632,0.40227481020733125,0.6342513777733015,0.013015134649765938,0.006342513777733015,0.0002836458391048003,0.15641166706325826,0.15645697355722366,0.40149293115091317,0.403129094908173
1.12,0.14310382693708648,0.4055304478138282,0.6368127258573184,0.013649226654613399,0.006368127258573184,0.0002847913087907804,0.1508571288353635,0.15090349477543485,0.41500499598429114,0.3961189773222471
1.1400000000000001,0.1402796526858571,0.41658635027509394,0.6454350085601911,0.01455835850720252,0.00645435008560191,0.0002886473108397492,0.14549960114074756,0.14537698179698255,0.4325079037589655,0.40072732075793915
1.16,0.1368623281033796,0.41926035691116353,0.6475031713522055,0.014998587844715376,0.006475031713522055,0.00028957222135804516,0.1403330635855149,0.14028051227130367,0.42692344347633615,0.41165404841363396
1.18,0.13299103278287966,0.4281377182499955,0.6543223351300149,0.015978415236032373,0.0065432233513001495,0.0002926218441094224,0.13535163056141075,0.13527574287482697,0.4292050285601201,0.4271349569717967
1.2,0.1284454836707856,0.4260792048406222,0.6527474280612848,0.01615309912411429,0.006527474280612848,0.00029191752425663733,0.13054955009190128,0.13053020751031974,0.43239396828277005,0.4198408332521515
1.22,0.12490262832427636,0.42573034740053933,0.6524801509628775,0.016421399405659,0.006524801509628774,0.00029179799430446374,0.12592120261752937,0.12588405107781675,0.4359486443708703,0.41559540087710906
1.24,0.12245148014151004,0.43505895552112556,0.6595899904646261,0.017470864388541615,0.006595899904646261,0.0002949776111914684,0.12146109972359032,0.12138063673508465,0.4546850014329727,0.4155045496130381
1.26,0.11809268052519005,0.45852323100000564,0.6771434345838447,0.019142050722640757,0.006771434345838448,0.0003028277500494318,0.11716388281309509,0.11711222434213711,0.4816089891935688,0.43552883584243307
1.28,0.11603332213620952,0.4617828157734537,0.6795460365372266,0.019572718850205766,0.006795460365372266,0.0003039022263075589,0.11302432172798016,0.11299582491607194,0.48839018333597145,0.435248921825352
1.3,0.11281957921139933,0.4998255052299763,0.7069833839843596,0.022111102277177302,0.007069833839843595,0.0003161725811103728,0.10903731332146416,0.1091248653805601,0.5583520329161796,0.44138193501191286
1.32,0.11083338709857395,0.5183955103284559,0.7199968821657882,0.023644003499328672,0.007199968821657882,0.0003219923944221217,0.10519787998440167,0.10551125531275643,0.5817202849497461,0.45510045146677647
1.34,0.10544088813919482,0.5330636704458434,0.730112094438822,0.024835296342922638,0.00730112094438822,0.0003265160548719904,0.10150116812845333,0.10168532569287905,0.5951833151316618,0.47099248502794877
1.3599999999999999,0.1041978309736792,0.539336986320857,0.7343956606086783,0.025403741413967323,0.007343956606086783,0.00032843172390037385,0.09794244662883189,0.09827677718375248,0.6022270719639563,0.4764778107487905
1.38,0.1035899977629577,0.5576698646212466,0.7467729672539349,0.0269220412768714,0.007467729672539349,0.0003339670237078046,0.09451710522932799,0.09487980757987452,0.6259040312966755,0.4893873620229509
1.4,0.10217949956782692,0.5587812427119575,0.7475167173461457,0.02750103202465572,0.0074751671734614574,0.0003342996388606956,0.09122065291229187,0.09150551234756933,0.6203189478069492,0.4970247695853919
1.42,0.09820512626435,0.5527612063703154,0.7434791230225065,0.027794089259407982,0.007434791230225065,0.0003324939717860507,0.08804871623616095,0.08819036454898774,0.6225135791178072,0.4827075183515709
1.44,0.09357291816713202,0.5718596526082982,0.7562140256622447,0.029454006847281677,0.007562140256622447,0.00033818919338390993,0.08499703764310407,0.08526350275542716,0.6518776055746002,0.49144550996622244
1.46,0.09169586040079002,0.5986643500664042,0.7737340305727829,0.031634201033152363,0.007737340305727829,0.0003460243777731286,0.08206147373927297,0.08233520095808884,0.6744713985976559,0.5225465502024765
1.48,0.08755765556207308,0.6402877392889439,0.8001798168467784,0.03472922182648498,0.008001798168467784,0.0003578512929385456,0.07923799355010086,0.07953722137701304,0.7009031078879915,0.5791786295485696
1.5,0.0847123994425181,0.6469863694053845,0.8043546291315693,0.03549067141006932,0.008043546291315694,0.0003597183257509643,0.07652267675305113,0.07675042925420447,0.7003417918935593,0.593236234108615
